2026-08-04 11:28:05 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-5 chunks for query: 'How does the platform handle data preprocessing?'
2026-08-04 11:28:05 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 5 results in 0.1032 seconds (embed: 0.1032s, search: 0.0000s).
2026-08-04 11:28:05 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-5 chunks for query: 'What is economic analysis?'
2026-08-04 11:28:05 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 5 results in 0.0880 seconds (embed: 0.0880s, search: 0.0000s).
2026-08-04 11:28:05 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-5 chunks for query: 'Tell me about market prediction.'
2026-08-04 11:28:05 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 5 results in 0.0635 seconds (embed: 0.0635s, search: 0.0000s).
2026-08-04 11:28:05 | INFO     | CARIVIX_AI | performance_evaluator:258 | Config (300/30/k=5) -> chunks=22, embed=1.232s, index=0.001s, retrieval=0.0822s, avg_sim=0.5167, lexical=0.4900
2026-08-04 11:28:05 | INFO     | CARIVIX_AI | splitter:208 | DocumentSplitter initialized. Chunk size: 300, Overlap: 30
2026-08-04 11:28:05 | INFO     | CARIVIX_AI | splitter:249 | Document splitting complete. 2 documents → 22 chunks. Chunk size: 300, Overlap: 30
2026-08-04 11:28:06 | INFO     | CARIVIX_AI | vector_store:82 | VectorStore initialized. Directory: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\:memory:, Index type: L2
2026-08-04 11:28:06 | INFO     | CARIVIX_AI | vector_store:135 | FAISS index created. Type: L2, Dimension: 384, Vectors: 22
2026-08-04 11:28:06 | INFO     | CARIVIX_AI | retriever:63 | Retriever initialized. Embedding model: all-MiniLM-L6-v2, Vector store: :memory:
2026-08-04 11:28:06 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-10 chunks for query: 'What is CARIVIX AI?'
2026-08-04 11:28:06 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 10 results in 0.0472 seconds (embed: 0.0472s, search: 0.0000s).
2026-08-04 11:28:06 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-10 chunks for query: 'What machine learning algorithms are supported?'
2026-08-04 11:28:06 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 10 results in 0.0550 seconds (embed: 0.0540s, search: 0.0010s).
2026-08-04 11:28:06 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-10 chunks for query: 'How does the platform handle data preprocessing?'
2026-08-04 11:28:06 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 10 results in 0.0460 seconds (embed: 0.0460s, search: 0.0000s).
2026-08-04 11:28:06 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-10 chunks for query: 'What is economic analysis?'
2026-08-04 11:28:06 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 10 results in 0.0314 seconds (embed: 0.0314s, search: 0.0000s).
2026-08-04 11:28:06 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-10 chunks for query: 'Tell me about market prediction.'
2026-08-04 11:28:07 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 10 results in 0.3454 seconds (embed: 0.3454s, search: 0.0000s).
2026-08-04 11:28:07 | INFO     | CARIVIX_AI | performance_evaluator:258 | Config (300/30/k=10) -> chunks=22, embed=0.960s, index=0.001s, retrieval=0.1065s, avg_sim=0.4676, lexical=0.3250
2026-08-04 11:28:07 | INFO     | CARIVIX_AI | splitter:208 | DocumentSplitter initialized. Chunk size: 300, Overlap: 50
2026-08-04 11:28:07 | INFO     | CARIVIX_AI | splitter:249 | Document splitting complete. 2 documents → 22 chunks. Chunk size: 300, Overlap: 50
2026-08-04 11:28:08 | INFO     | CARIVIX_AI | vector_store:82 | VectorStore initialized. Directory: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\:memory:, Index type: L2
2026-08-04 11:28:08 | INFO     | CARIVIX_AI | vector_store:135 | FAISS index created. Type: L2, Dimension: 384, Vectors: 22
2026-08-04 11:28:08 | INFO     | CARIVIX_AI | retriever:63 | Retriever initialized. Embedding model: all-MiniLM-L6-v2, Vector store: :memory:
2026-08-04 11:28:08 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-3 chunks for query: 'What is CARIVIX AI?'
2026-08-04 11:28:08 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 3 results in 0.0356 seconds (embed: 0.0356s, search: 0.0000s).
2026-08-04 11:28:08 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-3 chunks for query: 'What machine learning algorithms are supported?'
2026-08-04 11:28:08 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 3 results in 0.0268 seconds (embed: 0.0268s, search: 0.0000s).
2026-08-04 11:28:08 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-3 chunks for query: 'How does the platform handle data preprocessing?'
2026-08-04 11:28:08 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 3 results in 0.0351 seconds (embed: 0.0351s, search: 0.0000s).
2026-08-04 11:28:08 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-3 chunks for query: 'What is economic analysis?'
2026-08-04 11:28:08 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 3 results in 0.0360 seconds (embed: 0.0350s, search: 0.0010s).
