2026-08-11 12:52:45 | INFO     | CARIVIX_AI | main_rag:489 | ======================================================================
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | main_rag:490 |   CARIVIX AI - RAG PIPELINE
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | main_rag:491 |   Started at: 2026-08-11 12:52:45
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | main_rag:492 | ======================================================================
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | main_rag:500 | Initializing RAG pipeline...
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | loader:63 | DocumentLoader initialized. Directory: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\documents
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | splitter:53 | TextPreprocessor initialized. Remove special chars: False
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | splitter:208 | DocumentSplitter initialized. Chunk size: 500, Overlap: 50
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | embeddings:85 | EmbeddingGenerator initialized. Model: all-MiniLM-L6-v2, Device: cpu, Batch: 32
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | vector_store:82 | VectorStore initialized. Directory: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\vector_store, Index type: L2
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | retriever:63 | Retriever initialized. Embedding model: all-MiniLM-L6-v2, Vector store: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\vector_store
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | prompt_builder:90 | PromptBuilder initialized. Include metadata: False
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | pipeline:153 | RAGPipeline initialized. Documents: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\documents, Vector store: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\vector_store, Chunk size: 500/50, LLM: ollama/default, Retrieval k: 5
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | pipeline:211 | ============================================================
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | pipeline:212 |   RAG INDEXING PIPELINE
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | pipeline:213 | ============================================================
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | pipeline:216 | Step 1/5: Loading documents...
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | loader:103 | Loaded sample_about_carivix.txt → 1 document(s)
2026-08-11 12:52:45 | INFO     | CARIVIX_AI | loader:103 | Loaded sample_economics.txt → 1 document(s)
2026-08-11 12:52:46 | ERROR    | CARIVIX_AI | loader:257 | Error reading DOCX 'sample_report.docx': Package not found at 'D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\documents\sample_report.docx'
2026-08-11 12:52:46 | INFO     | CARIVIX_AI | loader:103 | Loaded sample_report.docx → 0 document(s)
2026-08-11 12:52:46 | INFO     | CARIVIX_AI | loader:113 | Document loading complete. 3 file(s), 2 document(s) loaded.
2026-08-11 12:52:46 | INFO     | CARIVIX_AI | pipeline:223 | Step 2/5: Preprocessing and splitting documents...
2026-08-11 12:52:46 | INFO     | CARIVIX_AI | splitter:128 | Text cleaning complete. 2 → 2 documents.
2026-08-11 12:52:46 | INFO     | CARIVIX_AI | splitter:249 | Document splitting complete. 2 documents → 12 chunks. Chunk size: 500, Overlap: 50
2026-08-11 12:52:46 | INFO     | CARIVIX_AI | pipeline:231 | Step 3/5: Generating embeddings for 12 chunks...
2026-08-11 12:52:46 | INFO     | CARIVIX_AI | embeddings:117 | Loading SentenceTransformer model: all-MiniLM-L6-v2 (device: cpu)...
2026-08-11 12:52:52 | INFO     | CARIVIX_AI | embeddings:136 | Model loaded. Embedding dimension: 384
2026-08-11 12:52:53 | INFO     | CARIVIX_AI | pipeline:237 | Step 4/5: Creating FAISS index...
2026-08-11 12:52:53 | INFO     | CARIVIX_AI | vector_store:135 | FAISS index created. Type: L2, Dimension: 384, Vectors: 12
2026-08-11 12:52:53 | INFO     | CARIVIX_AI | pipeline:241 | Step 5/5: Saving index to 'D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\vector_store'...
2026-08-11 12:52:53 | INFO     | CARIVIX_AI | vector_store:184 | Index saved. FAISS: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\vector_store\index.faiss, Metadata: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\vector_store\index.pkl (vectors: 12, dimension: 384)
2026-08-11 12:52:53 | INFO     | CARIVIX_AI | pipeline:266 | ============================================================
2026-08-11 12:52:53 | INFO     | CARIVIX_AI | pipeline:267 |   INDEXING COMPLETE
2026-08-11 12:52:53 | INFO     | CARIVIX_AI | pipeline:268 |   Documents: 2 | Chunks: 12 | Embeddings: 12 | Vectors: 12
2026-08-11 12:52:53 | INFO     | CARIVIX_AI | pipeline:271 |   Time: 7.42 seconds
2026-08-11 12:52:53 | INFO     | CARIVIX_AI | pipeline:272 | ============================================================
2026-08-11 12:52:53 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-5 chunks for query: 'What is CARIVIX AI?'
2026-08-11 12:52:53 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 5 results in 0.0294 seconds (embed: 0.0269s, search: 0.0025s).
2026-08-11 12:52:53 | INFO     | CARIVIX_AI | generator:127 | OllamaLLM initialized. Model: llama3.1, URL: http://localhost:11434
2026-08-11 12:52:53 | INFO     | CARIVIX_AI | generator:447 | ResponseGenerator initialized. Backend: ollama, Model: llama3.1
2026-08-11 12:52:55 | INFO     | CARIVIX_AI | generator:471 | Generating response (max_tokens=512, temperature=0.70)...
2026-08-11 12:53:35 | INFO     | CARIVIX_AI | generator:486 | Response generated in 39.99 seconds. Length: 337 chars
2026-08-11 12:53:35 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-5 chunks for query: 'What machine learning algorithms are supported?'
2026-08-11 12:53:35 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 5 results in 0.4941 seconds (embed: 0.4722s, search: 0.0219s).
2026-08-11 12:53:38 | INFO     | CARIVIX_AI | generator:471 | Generating response (max_tokens=512, temperature=0.70)...
2026-08-11 12:54:51 | INFO     | CARIVIX_AI | generator:486 | Response generated in 73.70 seconds. Length: 89 chars
2026-08-11 12:54:51 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-5 chunks for query: 'How does the platform handle data?'
2026-08-11 12:54:52 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 5 results in 0.6448 seconds (embed: 0.6199s, search: 0.0249s).
2026-08-11 12:54:54 | INFO     | CARIVIX_AI | generator:471 | Generating response (max_tokens=512, temperature=0.70)...
2026-08-11 12:56:12 | INFO     | CARIVIX_AI | generator:486 | Response generated in 77.33 seconds. Length: 208 chars
2026-08-11 12:56:12 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-5 chunks for query: 'What is economic analysis?'
2026-08-11 12:56:13 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 5 results in 1.1890 seconds (embed: 1.1532s, search: 0.0357s).
2026-08-11 12:56:15 | INFO     | CARIVIX_AI | generator:471 | Generating response (max_tokens=512, temperature=0.70)...
2026-08-11 12:57:39 | INFO     | CARIVIX_AI | generator:486 | Response generated in 83.33 seconds. Length: 45 chars
2026-08-11 12:57:39 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-5 chunks for query: 'Tell me about market prediction'
2026-08-11 12:57:39 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 5 results in 0.8624 seconds (embed: 0.8397s, search: 0.0226s).
2026-08-11 12:57:42 | INFO     | CARIVIX_AI | generator:471 | Generating response (max_tokens=512, temperature=0.70)...
2026-08-11 12:59:35 | INFO     | CARIVIX_AI | generator:486 | Response generated in 113.71 seconds. Length: 453 chars
2026-08-11 12:59:35 | INFO     | CARIVIX_AI | main_rag:577 | ======================================================================
2026-08-11 12:59:35 | INFO     | CARIVIX_AI | main_rag:578 |   RAG PIPELINE COMPLETED
2026-08-11 12:59:35 | INFO     | CARIVIX_AI | main_rag:579 | ======================================================================
