2026-08-11 11:28:02 | INFO     | CARIVIX_AI | main_rag:489 | ======================================================================
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | main_rag:490 |   CARIVIX AI - RAG PIPELINE
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | main_rag:491 |   Started at: 2026-08-11 11:28:02
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | main_rag:492 | ======================================================================
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | main_rag:500 | Initializing RAG pipeline...
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | loader:63 | DocumentLoader initialized. Directory: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\documents
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | splitter:53 | TextPreprocessor initialized. Remove special chars: False
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | splitter:208 | DocumentSplitter initialized. Chunk size: 500, Overlap: 50
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | embeddings:85 | EmbeddingGenerator initialized. Model: all-MiniLM-L6-v2, Device: cpu, Batch: 32
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | vector_store:82 | VectorStore initialized. Directory: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\vector_store, Index type: L2
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | retriever:63 | Retriever initialized. Embedding model: all-MiniLM-L6-v2, Vector store: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\vector_store
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | prompt_builder:90 | PromptBuilder initialized. Include metadata: False
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | pipeline:153 | RAGPipeline initialized. Documents: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\documents, Vector store: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data\vector_store, Chunk size: 500/50, LLM: ollama/default, Retrieval k: 5
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | vector_store:228 | Index loaded. Vectors: 12, Dimension: 384, Type: L2
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | pipeline:286 | Index loaded: 12 vectors, 12 documents.
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | pipeline:341 | ============================================================
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | pipeline:342 |   RAG QUERY
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | pipeline:343 |   Question: What is CARIVIX AI?
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | pipeline:344 | ============================================================
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | retriever:104 | Retrieving top-5 chunks for query: 'What is CARIVIX AI?'
2026-08-11 11:28:02 | INFO     | CARIVIX_AI | embeddings:117 | Loading SentenceTransformer model: all-MiniLM-L6-v2 (device: cpu)...
2026-08-11 11:28:08 | INFO     | CARIVIX_AI | embeddings:136 | Model loaded. Embedding dimension: 384
2026-08-11 11:28:08 | INFO     | CARIVIX_AI | retriever:141 | Retrieval complete. 5 results in 5.6782 seconds (embed: 5.6757s, search: 0.0025s).
2026-08-11 11:28:08 | INFO     | CARIVIX_AI | pipeline:374 | Retrieved 5 chunks in 5.6797 seconds.
2026-08-11 11:28:08 | INFO     | CARIVIX_AI | generator:127 | OllamaLLM initialized. Model: llama3.1, URL: http://localhost:11434
2026-08-11 11:28:08 | INFO     | CARIVIX_AI | generator:447 | ResponseGenerator initialized. Backend: ollama, Model: llama3.1
2026-08-11 11:28:10 | INFO     | CARIVIX_AI | generator:471 | Generating response (max_tokens=512, temperature=0.70)...
2026-08-11 11:28:12 | ERROR    | CARIVIX_AI | pipeline:397 | LLM generation failed: Ollama API error: 404 Client Error: Not Found for url: http://localhost:11434/api/generate
2026-08-11 11:28:12 | INFO     | CARIVIX_AI | pipeline:407 | Response generated in 4.2164 seconds.
2026-08-11 11:28:12 | INFO     | CARIVIX_AI | pipeline:408 | Total query time: 9.8961 seconds.
2026-08-11 11:28:12 | INFO     | CARIVIX_AI | pipeline:409 | ============================================================
2026-08-11 11:28:12 | INFO     | CARIVIX_AI | main_rag:577 | ======================================================================
2026-08-11 11:28:12 | INFO     | CARIVIX_AI | main_rag:578 |   RAG PIPELINE COMPLETED
2026-08-11 11:28:12 | INFO     | CARIVIX_AI | main_rag:579 | ======================================================================
