2026-08-20 11:48:11 | INFO     | CARIVIX_AI | run_baseline_pipeline:276 | ======================================================================
2026-08-20 11:48:11 | INFO     | CARIVIX_AI | run_baseline_pipeline:277 |   CARIVIX AI - BASELINE MODEL PIPELINE
2026-08-20 11:48:11 | INFO     | CARIVIX_AI | run_baseline_pipeline:278 |   Started at: 2026-08-20 11:48:11
2026-08-20 11:48:11 | INFO     | CARIVIX_AI | run_baseline_pipeline:279 | ======================================================================
2026-08-20 11:48:11 | INFO     | CARIVIX_AI | baseline_pipeline:468 | ======================================================================
2026-08-20 11:48:11 | INFO     | CARIVIX_AI | baseline_pipeline:469 |   CARIVIX AI - BASELINE MODEL PIPELINE
2026-08-20 11:48:11 | INFO     | CARIVIX_AI | baseline_pipeline:470 | ======================================================================
2026-08-20 11:48:11 | INFO     | CARIVIX_AI | baseline_pipeline:478 | Loading configuration from: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\config/config.yaml
2026-08-20 11:48:11 | INFO     | CARIVIX_AI | utils:143 | Configuration loaded successfully from D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\config/config.yaml
2026-08-20 11:48:11 | INFO     | CARIVIX_AI | baseline_pipeline:481 | ✓ Configuration Loaded
2026-08-20 11:48:11 | INFO     | CARIVIX_AI | baseline_pipeline:83 | --------------------------------------------------
2026-08-20 11:48:11 | INFO     | CARIVIX_AI | baseline_pipeline:84 | STEP: Dataset Loading
2026-08-20 11:48:11 | INFO     | CARIVIX_AI | baseline_pipeline:85 | --------------------------------------------------
2026-08-20 11:48:11 | INFO     | CARIVIX_AI | baseline_pipeline:102 | Using latest processed dataset: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data/processed\processed_20260731_165209.csv
2026-08-20 11:48:11 | INFO     | CARIVIX_AI | baseline_pipeline:116 | Loading dataset from: D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data/processed\processed_20260731_165209.csv
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | utils:477 | DataFrame loaded from D:\CARIVIX\CARIVIX AI\CARIVIX_AI_Model_Training\data/processed\processed_20260731_165209.csv (shape: (1000, 29))
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:118 | Dataset loaded. Shape: (1000, 29)
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:134 | Features shape: (1000, 28), Target shape: (1000,)
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:135 | Target dtype: int64
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:136 | Target unique values: 2
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:139 | Dataset name: processed_20260731_165209
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:141 | ✓ Dataset Loaded
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:155 | --------------------------------------------------
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:156 | STEP: Data Validation
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:157 | --------------------------------------------------
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:193 | Target class distribution - smallest class: 40.30%
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:198 | Dataset validation passed. Rows: 1000, Features: 28
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:199 | ✓ Data Validation Completed
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:224 | --------------------------------------------------
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:225 | STEP: Preprocessing
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:226 | --------------------------------------------------
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:238 | No missing values found.
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:269 | Scaling 9 numerical features...
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | preprocess:291 | Scaling features using 'standard' scaler for 9 columns.
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:273 | Preprocessing complete. Shape: (1000, 28)
2026-08-20 11:48:12 | INFO     | CARIVIX_AI | baseline_pipeline:274 | ✓ Preprocessing Completed
