Country Name,Country Code,Series Name,Series Code,1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],Missing_Year_Count,Available_Year_Count,Missing_Year_Percentage,Historical_Average,Historical_Median,Historical_Minimum,Historical_Maximum,Historical_Standard_Deviation,Historical_Range,First_Year_Value,Latest_Year_Value,Absolute_Change,Percentage_Change,CAGR_Percentage,Trend_Slope,Trend_Direction,Latest_Value_Status,Latest_Value_Log,Average_Value_Log,Latest_Year_Change,Latest_Year_Change_Percentage
Ida & Ibrd Total,IBT,GDP (current US$),NY.GDP.MKTP.CD,3048810000000.0,2988180000000.0,2891970000000.0,2954270000000.0,3066270000000.0,3129950000000.0,3226920000000.0,3444370000000.0,3575930000000.0,4017920000000.0,3940510000000.0,4055230000000.0,4312830000000.0,4732710000000.0,5468660000000.0,5998030000000.0,6355350000000.0,6153800000000.0,5860980000000.0,6405160000000.0,6484660000000.0,6618960000000.0,7438050000000.0,8846950000000.0,10543900000000.0,12515800000000.0,15478400000000.0,18566800000000.0,18030300000000.0,21843600000000.0,25767400000000.0,27373500000000.0,28868100000000.0,29793100000000.0,28118800000000.0,28299800000000.0,31121200000000.0,33140800000000.0,34074800000000.0,32817300000000.0,38735500000000.0,40927500000000.0,42011300000000.0,43660200000000.0,46251400000000.0,0,45,0.0,16065688222222.223,7438050000000.0,2891970000000.0,46251400000000.0,14040375546341.393,43359430000000.0,3048810000000.0,46251400000000.0,43202590000000.0,1417.0312351376438,6.375296746482606,1000083893280.6318,Increasing,Positive,31.46511284969914,30.40770694743082,2591200000000.0,5.934924714041621
Ida & Ibrd Total,IBT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.82252511,2.522269674,1.254555205,4.561550919,4.371584951,3.789837624,4.747840734,4.164270007,2.862062205,2.168021585,1.323122314,1.677521873,3.434645239,3.361658599,4.012310003,5.403158128,5.259814778,2.739717392,3.639727961,5.741787721,3.690282424,4.600380237,5.800683593,7.646434136,7.161352492,8.141501131,8.712468653,5.867812008,2.968505876,7.637521838,6.169618442,5.304572181,5.230899445,4.829329192,4.253266366,4.354809364,5.073309685,4.82460274,3.984759242,-1.323314897,7.351581193,3.827106317,4.525900572,4.420225651,4.335705803,0,45,0.0,4.405495460133333,4.371584951,-1.323314897,8.712468653,1.9617184978276825,10.03578355,1.82252511,4.335705803,2.513180693,137.89553182068366,1.989211400883728,0.0458455265807641,Increasing,Positive,1.6744211727230525,1.6874161138897006,-0.08451984800000023,-1.9121161378012244
Ida & Ibrd Total,IBT,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,9.110526329,8.113086842,8.520307741,9.687012653,7.850851327,6.196768185,8.842020422,8.957951866,8.42211025,10.66830385,14.41652493,12.90003463,11.29797386,16.95231603,11.06416244,8.798385813,6.94025169,6.963579517,6.33463973,6.799999952,5.696232766,4.11870609,5.61836277,7.099800329,7.039732833,7.556799422,7.301469219,9.500585801,3.09346281,6.20154283,7.833328045,4.91662853,3.586920608,3.285283272,2.972284899,2.973553053,4.146048872,3.6266473,2.792557411,2.878032289,5.758240387,8.385366724,5.488190184,4.858673914,4.020979021,0,45,0.0,7.101916387466668,6.963579517,2.792557411,16.95231603,3.1522871369640093,14.159758618999998,9.110526329,4.020979021,-5.089547308000001,-55.86447065960728,-1.8417046410478366,-0.15382987773623263,Decreasing,Positive,1.613624938792495,2.092100624740413,-0.8376948930000001,-17.241224824457323
Ida & Ibrd Total,IBT,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,5450662.687,8076556.635,5647000.0,6498000.0,5643650.0,7354638.483,8211400.502,8672300.0,9811619.044,18852.28951,13899.26586,18533.16216,17710.0,20579.37613,23600.0,23681.02919,24627.21394,24312.78615,25091.6666,25248.22062,25711.58815,29064.29806,31731.25662,20.43438298,20.0785689,20.17315795,20.02983815,20.03863578,20.03558214,19.75510105,19.95225878,19.96998082,19.89788557,20.2702713,20.70713015,20.4180357,20.34823137,20.70324163,20.06982241,20.34445551,21.23582579,20.60764595,19.95164132,19.56066917,19.34120284,0,45,0.0,1459753.63172345,13899.26586,19.34120284,9811619.044,3007628.3488135114,9811599.70279716,5450662.687,19.34120284,-5450643.34579716,-99.99964515869078,-24.813972313267264,-151939.63557437225,Decreasing,Positive,3.0126485255484092,14.193778919097387,-0.2194663299999995,-1.121977617905796
Ida & Ibrd Total,IBT,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,1124590000000.0,1094940000000.0,1048190000000.0,1065500000000.0,1078860000000.0,1085620000000.0,1123480000000.0,1232370000000.0,1329800000000.0,1494000000000.0,1382060000000.0,1404080000000.0,1516800000000.0,1683580000000.0,1843540000000.0,2031550000000.0,2146970000000.0,1995510000000.0,1936600000000.0,2158180000000.0,2163840000000.0,2243290000000.0,2532770000000.0,3088990000000.0,3740800000000.0,4510620000000.0,5543630000000.0,6739040000000.0,6329920000000.0,7762530000000.0,9349180000000.0,9844460000000.0,10189700000000.0,10380300000000.0,9520020000000.0,9370280000000.0,10416500000000.0,11334900000000.0,11336700000000.0,10764500000000.0,13328900000000.0,14158600000000.0,14025100000000.0,14287700000000.0,14756700000000.0,0,45,0.0,5499893111111.111,2532770000000.0,1048190000000.0,14756700000000.0,4707558469690.874,13708510000000.0,1124590000000.0,14756700000000.0,13632110000000.0,1212.1848851581465,6.025170121491774,335427051383.399,Increasing,Positive,30.322718332868053,29.335749773634873,469000000000.0,3.282543726422028
Ida & Ibrd Total,IBT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,15.91271696,15.79559971,16.67523428,17.17480762,16.08577788,14.35787173,16.6912796,18.01959088,18.7618769,17.76707796,17.67034037,24.67004091,21.04452689,20.63454771,21.0754751,20.64716868,21.12864699,20.99188596,23.14503563,25.29531561,24.66133009,26.34129517,27.92975085,30.03588261,30.96064113,31.73678775,31.0517053,31.12477928,25.90704034,27.14846952,27.90674433,27.28253143,26.52605392,25.82710201,24.14218578,23.06405471,23.7009834,24.75292461,23.76808201,22.67810639,24.99563931,26.71565108,25.13163633,25.59748322,25.85536921,0,45,0.0,23.297489936666672,24.14218578,14.35787173,31.73678775,4.66315976841039,17.378916020000002,15.91271696,25.85536921,9.94265225,62.482430090304334,1.1092885887403758,0.24780182213570406,Increasing,Positive,3.290465771540704,3.190373050223849,0.25788598999999834,1.0074661941706249
Ida & Ibrd Total,IBT,Exports of goods and services (current US$),NE.EXP.GNFS.CD,485149000000.0,472001000000.0,482243000000.0,507390000000.0,493234000000.0,449394000000.0,538614000000.0,620661000000.0,670912000000.0,713866000000.0,696302000000.0,1000430000000.0,907615000000.0,976574000000.0,1152550000000.0,1238420000000.0,1342800000000.0,1291800000000.0,1356530000000.0,1620210000000.0,1599200000000.0,1743520000000.0,2077430000000.0,2657260000000.0,3264470000000.0,3972110000000.0,4806290000000.0,5778890000000.0,4671120000000.0,5930200000000.0,7190850000000.0,7468170000000.0,7657580000000.0,7694700000000.0,6788480000000.0,6527090000000.0,7376040000000.0,8203310000000.0,8098920000000.0,7442350000000.0,9682180000000.0,10934000000000.0,10558100000000.0,11175900000000.0,11958500000000.0,0,45,0.0,4050519000000.0,2077430000000.0,449394000000.0,11958500000000.0,3646460356045.236,11509106000000.0,485149000000.0,11958500000000.0,11473351000000.0,2364.912841209608,7.555309369550689,261734955994.72968,Increasing,Positive,30.112463438525413,29.029866136985117,782600000000.0,7.0025680258413185
Ida & Ibrd Total,IBT,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,5450662.687,424126000000.0,422450000000.0,447293000000.0,432538000000.0,384765000000.0,458755000000.0,511659000000.0,561768000000.0,646280000000.0,666383000000.0,732011000000.0,781582000000.0,913594000000.0,1093580000000.0,1211320000000.0,1236530000000.0,1215560000000.0,1261490000000.0,1522240000000.0,1506320000000.0,1617590000000.0,2051940000000.0,2627140000000.0,3232460000000.0,3926550000000.0,4729420000000.0,5749520000000.0,4575420000000.0,5780810000000.0,7050170000000.0,7367410000000.0,7627010000000.0,7672880000000.0,6760990000000.0,6470010000000.0,7335060000000.0,8139880000000.0,8131610000000.0,7461520000000.0,9681230000000.0,10967000000000.0,10587500000000.0,11262700000000.0,12020300000000.0,0,45,0.0,3983474876681.393,2051940000000.0,5450662.687,12020300000000.0,3691425487701.782,12020294549337.312,5450662.687,12020300000000.0,12020294549337.312,220529048.2936339,39.37012251777554,265302907521.1356,Increasing,Positive,30.1176180031269,29.013175638901807,757600000000.0,6.726628605929307
Ida & Ibrd Total,IBT,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,5450662.687,454196000000.0,447588000000.0,473630000000.0,457078000000.0,407721000000.0,481099000000.0,535235000000.0,588646000000.0,680434000000.0,701876000000.0,770999000000.0,819909000000.0,960073000000.0,1152320000000.0,1275490000000.0,1305690000000.0,1284480000000.0,1326370000000.0,1604600000000.0,1584210000000.0,1683760000000.0,2137660000000.0,2729720000000.0,3380380000000.0,4140590000000.0,5038150000000.0,6111540000000.0,4855620000000.0,6115990000000.0,7406320000000.0,7745700000000.0,8034380000000.0,8138170000000.0,7179750000000.0,6914110000000.0,7890050000000.0,8698550000000.0,8724790000000.0,7967810000000.0,10355700000000.0,11593400000000.0,11288400000000.0,12037900000000.0,12804100000000.0,0,45,0.0,4228537543348.0596,2137660000000.0,5450662.687,12804100000000.0,3934488897121.5977,12804094549337.312,5450662.687,12804100000000.0,12804094549337.312,234908951.16066304,39.57035275551392,282710824780.6876,Increasing,Positive,30.1807865480651,29.07287731477396,766200000000.0,6.364897531961555
Ida & Ibrd Total,IBT,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,5450662.687,8076556.635,5647000.0,6498000.0,5643650.0,7354638.483,8211400.502,8672300.0,9811619.044,18852.28951,13899.26586,18533.16216,17710.0,20579.37613,23600.0,23681.02919,24627.21394,24312.78615,25091.6666,25248.22062,25711.58815,29064.29806,31731.25662,35647.54404,44241.90423,49704.70623,53568.30578,52225.0,48925.0,53298.11251,59275.54322,87950.0,83467.56004,91410.0,6788480000000.0,108747.3561,112899.7128,113204.8221,90987.66305,82251.84809,85426.93391,97270.0,104125.7938,95113.32638,94793.21557,0,45,0.0,150856607400.0856,82251.84809,13899.26586,6788480000000.0,1011966621474.5852,6788479986100.734,5450662.687,94793.21557,-5355869.47143,-98.26088640935194,-8.797350852913887,10732625611.582035,Increasing,Positive,11.459463669187395,25.739595602726382,-320.1108099999983,-0.33655726508931116
