Model,Dataset,Training Time (s),Timestamp,Model Path,accuracy,precision,recall,f1_score,roc_auc
LogisticRegression,processed_20260731_165209,0.03,20260820_120147,models\LogisticRegression_processed_20260731_165209_20260820_120147.pkl,0.605,0.5845,0.605,0.5671,0.5201
DecisionTree,processed_20260731_165209,0.0407,20260820_120149,models\DecisionTree_processed_20260731_165209_20260820_120149.pkl,0.565,0.5608,0.565,0.5625,0.5438
GradientBoosting,processed_20260731_165209,0.8322,20260820_120212,models\GradientBoosting_processed_20260731_165209_20260820_120212.pkl,0.555,0.525,0.555,0.5252,0.5357
XGBoost,processed_20260731_165209,0.6455,20260820_120218,models\XGBoost_processed_20260731_165209_20260820_120218.pkl,0.525,0.5038,0.525,0.5089,0.4844
SVM,processed_20260731_165209,0.235,20260820_120201,models\SVM_processed_20260731_165209_20260820_120201.pkl,0.58,0.5292,0.58,0.4988,0.4631
KNN,processed_20260731_165209,0.0025,20260820_120206,models\KNN_processed_20260731_165209_20260820_120206.pkl,0.495,0.494,0.495,0.4945,0.4505
RandomForest,processed_20260731_165209,0.2378,20260820_120159,models\RandomForest_processed_20260731_165209_20260820_120159.pkl,0.495,0.4509,0.495,0.4612,0.4787
NaiveBayes,processed_20260731_165209,0.0073,20260820_120208,models\NaiveBayes_processed_20260731_165209_20260820_120208.pkl,0.42,0.454,0.42,0.4176,0.4668
