Country Name,Country Code,Series Name,Series Code,1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Timor-Leste,TLS,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,2.534419225,2.498306831,2.573406851,2.62358772,2.497368254,2.447909005,2.5046475,2.065806011,1.683732095,1.385139141,1.009196751,0.910252763,0.793999423,0.723328925,0.776623601,0.97375158,1.100675991,1.562220799,1.692043245,1.828933738,1.52727304,0.752157717,1.290569136,1.645116819,1.900119972,94793.21557
Timor-Leste,TLS,"Industry (including construction), value added (current LCU)",NV.IND.TOTL.CN,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,59023300,62919800,55960200,49902900,24228400,24465400,22868000,28850600,49952600,72945200,80582800,135380900,148448200,280627900,245781300,292147000,315446800,250102200,256722900,618162500,794806000,2254269700,1749079800,496399700,220541400,94793.21557
Timor-Leste,TLS,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,59023300,62919800,55960200,49902900,24228400,24465400,22868000,28850600,49952600,72945200,80582800,135380900,148448200,280627900,245781300,292147000,315446800,250102200,256722900,618162500,794806000,2254269700,1749079800,496399700,220541400,94793.21557
Timor-Leste,TLS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,10.61807572,8.972046842,7.804445789,6.866071649,7.474431225,7.136466292,9.22930838,9.996952811,9.346413916,9.166327573,8.564633574,6.405792191,7.122824855,5.584593381,4.571799014,3.050307291,3.156422882,2.409011316,2.931531761,21.21431774,36.66621475,63.51278804,55.61193529,22.92309447,10.55755258,94793.21557
Timor-Leste,TLS,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,38960300,42828900,36638400,33673900,32945200,32989600,41881900,54263000,60613700,66633500,75532300,66782600,82664300,77945700,66178400,48508500,51780000,38179900,45614300,431191700,792950600,2302354000,1784364500,476747000,196962600,94793.21557
Timor-Leste,TLS,Exports of goods and services (current US$),NE.EXP.GNFS.CD,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,38960300,42828900,36638400,33673900,32945200,32989600,41881900,54263000,60613700,66633500,75532300,66782600,82664300,77945700,66178400,48508500,51780000,38179900,45614300,431191700,792950600,2302354000,1784364500,476747000,196962600,94793.21557
Timor-Leste,TLS,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,25248.22062,25711.58815,29064.29806,31731.25662,35647.54404,44241.90423,43343080.75,69159715.18,58143861.88,66149931.32,94889673.76,101258510.5,102689739.2,87862751.6,89595180.71,91006899.61,96780600,109896003,121872114.4,785636552.4,1598070866,2834213905,1857999191,701807593.4,278047419.9,273249160.7
Timor-Leste,TLS,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,25248.22062,25711.58815,29064.29806,31731.25662,35647.54404,44241.90423,690858528.2,1405428507,2474879917,2013583031,2537973947,3688195718,3984861210,3429119165,2243310322,1398637019,660115000,878016129.9,1008089570,1657388317,1962136555,3117039157,2184332899,1221302176,854116835,861320182.9
Timor-Leste,TLS,Exports of goods and services (constant 2015 US$),NE.EXP.GNFS.KD,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,52051600,64140600,58766400,54129300,48334300,43210600,52205500,69019400,83759500,84766200,108525000,81473700,115003200,87284700,67633000,48508500,52618400,32069900,37404300,428446900,1324188800,1421994200,794213000,317754500,100049200,94793.21557
Timor-Leste,TLS,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,165.0303891,157.7713684,172.5992985,115.4458933,99.85638834,67.53478502,89.646411,118.7639394,125.9043464,148.520121,125.8358881,134.3605574,121.3776684,74.04953145,78.16397833,57.02661364,57.15419888,56.22573946,61.88765136,49.39992632,48.08409636,36.3472129,42.00917353,66.38155463,84.89095043,94793.21557
